Year,Quarter,Month,Endpoint,Country,Region,Integration Partner,Sale Type,Branding,Segment Type,Partner Name,Advertiser Name,Buyer Name,Segment Name,Revenue,Segment ID,Vertical Segment Name,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,L1,L2,L3,L4,L5,L6
2018,Q2,May,Adform - Partner,N/A,US,Liveramp,BD,Branded,Vertical,,Galveston County Health District,N/A,Decode Digital / Data Store / Galveston County Health District / ShareThis > Travel > Cruises & Charters,0.03,1001015079,Travel > Cruises & Charters,-,-,-,-,Travel,Cruises & Charters,,,,
2018,Q2,May,Adform - Partner,N/A,US,Liveramp,BD,Branded,Vertical,,Viking Cold,N/A,Decode Digital / Data Store / Viking Cold Solutions / Grocery / ShareThis_US > Business & Industrial > Transportation & Logistics > Warehousing,2.27,1001600836,Business & Industrial > Transportation & Logistics > Warehousing,-,-,-,-,Business & Industrial,Transportation & Logistics,Warehousing,,,
2018,Q2,May,Adform - Partner,N/A,US,Liveramp,BD,Branded,Vertical,,CHISLH - Corporate Solutions,N/A,Decode Digital / Data Store / Corporate Solutions / ShareThis_US > Business & Industrial > Business Operations > Human Resources,8.06,1001011499,Business & Industrial > Business Operations > Human Resources,-,-,-,-,Business & Industrial,Business Operations,Human Resources,,,
2018,Q2,May,Adform - Partner,N/A,US,Liveramp,BD,Branded,Vertical,,CHISJH - Recruiting,N/A,Decode Digital / Data Store / CHISJH - Recruiting / ShareThis > Health > Nursing,21.04,1001010689,Recruiting / ShareThis > Health > Nursing,-,-,-,-,Recruiting / ShareThis > Health > Nursing,,,,,
2018,Q2,May,AppNexus,N/A,US,Liveramp,Direct Sales,Branded,Custom,,,N/A,ShareThis > Interest from Social Activity > Oppenheimer > Custom > Financial Advisor,605.55,1001664586,Oppenheimer > Custom > Financial Advisor,Meg Severance,Havas Digital,Oppenheimer,Oppenheimer_Havas_2017_2H17_Segments,Oppenheimer,Custom,Financial Advisor,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Porsche,0.29,1002823786,Centro > Vertical > Porsche,-,-,-,-,Centro,Vertical,Porsche,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Elective & Plug-In Vehicles,0.43,1002823676,Centro > Vertical > Elective & Plug-In Vehicles,-,-,-,-,Centro,Vertical,Elective & Plug-In Vehicles,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,chevroletofenglewood.com                                                                                                       ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Chevy,0.44,1002823656,Centro > Vertical > Chevy,-,-,-,-,Centro,Vertical,Chevy,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > BMW,0.71,1002823646,Centro > Vertical > BMW,-,-,-,-,Centro,Vertical,BMW,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Hummer,0.87,1002823736,Centro > Vertical > Hummer,-,-,-,-,Centro,Vertical,Hummer,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Land Rover,0.91,1002823766,Centro > Vertical > Land Rover,-,-,-,-,Centro,Vertical,Land Rover,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Bentley,0.94,1002823636,Centro > Vertical > Bentley,-,-,-,-,Centro,Vertical,Bentley,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Maintenance,0.95,1002823856,Centro > Vertical > Vehicle Maintenance,-,-,-,-,Centro,Vertical,Vehicle Maintenance,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Subaru,1.09,1002823796,Centro > Vertical > Subaru,-,-,-,-,Centro,Vertical,Subaru,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Ferrari,1.28,1002823696,Centro > Vertical > Ferrari,-,-,-,-,Centro,Vertical,Ferrari,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Specs,1.46,1002823876,Centro > Vertical > Vehicle Specs,-,-,-,-,Centro,Vertical,Vehicle Specs,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Hybrid & Alternative Vehicles,1.69,1002823746,Centro > Vertical > Hybrid & Alternative Vehicles,-,-,-,-,Centro,Vertical,Hybrid & Alternative Vehicles,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,chevroletofenglewood.com                                                                                                       ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Trucks,1.88,1002823816,Centro > Vertical > Trucks,-,-,-,-,Centro,Vertical,Trucks,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,freedomjeepchrysler.com                                                                                                        ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Jeep,2.66,1002823756,Centro > Vertical > Jeep,-,-,-,-,Centro,Vertical,Jeep,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Fuel Economy & Gas Prices,2.89,1002823716,Centro > Vertical > Fuel Economy & Gas Prices,-,-,-,-,Centro,Vertical,Fuel Economy & Gas Prices,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,extonnissan.com                                                                                                                ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Nissan,3.66,1002823776,Centro > Vertical > Nissan,-,-,-,-,Centro,Vertical,Nissan,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Engine & Transmission,3.92,1002823686,Centro > Vertical > Engine & Transmission,-,-,-,-,Centro,Vertical,Engine & Transmission,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Brands,4.43,1002823836,Centro > Vertical > Vehicle Brands,-,-,-,-,Centro,Vertical,Vehicle Brands,,,
