REPORT_DATE,PLATFORM_ID,PLATFORM,PARTNER_NAME,BUYER_NAME,SOURCE,ADVERTISER_NAME,PUBLISHER,AD_ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,DEVICE,AD_FORMAT,COUNTRY_DATA,COUNTRY_USE,DATA_PROVIDER_ID,LIVERAMP_SEGMENT_ID,SEGMENT_NAME,GROSS_DATA_CPM,NET_CPM,IMPRESSIONS,CLICKS,GROSS_MEDIA_SPEND,TOTAL_DATA_REVENUE_EARNED,DATA_PROVIDER_REVENUE,LIVERAMP_REVENUE,DATA_USE,DATA_TYPE,DATA_PROVIDER,REV_SHARE_PREMIUM_BASIC,CONVERSIONS,ATTRIBUTABLE_REVENUE,AOFT,SOURCE_ID,UPLOAD_DATE
30-JUN-18,147471,Adform - Partner,,,,Galveston County Health District,,148428,,,,,,,USA,,,1001015079,Decode Digital / Data Store / Galveston County Health District / ShareThis > Travel > Cruises & Charters,,,40,,,0.04,0.03,0.01,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,147471,Adform - Partner,,,,Viking Cold,,254743,,,,,,,USA,,,1001600836,Decode Digital / Data Store / Viking Cold Solutions / Grocery / ShareThis_US > Business & Industrial > Transportation & Logistics > Warehousing,,,2803,,,2.67,2.27,0.4,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,147471,Adform - Partner,,,,CHISLH - Corporate Solutions,,260167,,,,,,,USA,,,1001011499,Decode Digital / Data Store / Corporate Solutions / ShareThis_US > Business & Industrial > Business Operations > Human Resources,,,9983,,,9.48,8.06,1.42,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,147471,Adform - Partner,,,,CHISJH - Recruiting,,136805,,,,,,,USA,,,1001010689,Decode Digital / Data Store / CHISJH - Recruiting / ShareThis > Health > Nursing,,,26084,,,24.75,21.04,3.71,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,52154,AppNexus,AFFIPERF US,AFFIPERF US,,,,,20711442,,,,,,USA,,,1001664586,ShareThis > Interest from Social Activity > Oppenheimer > Custom > Financial Advisor,,1.1,761935,,,712.41,605.55,106.86,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823786,ShareThis > Interest from Social Activity > Centro > Vertical > Porsche,0.95,0.95,366,,,0.34,0.29,0.05,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823676,ShareThis > Interest from Social Activity > Centro > Vertical > Elective & Plug-In Vehicles,0.95,0.95,553,,,0.5,0.43,0.08,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,chevroletofenglewood.com                                                                                                       ,,109250,713814,,,,,,USA,,ShareThis,1002823656,ShareThis > Interest from Social Activity > Centro > Vertical > Chevy,0.95,0.95,552,,,0.52,0.44,0.08,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823646,ShareThis > Interest from Social Activity > Centro > Vertical > BMW,0.95,0.95,879,,,0.84,0.71,0.13,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823736,ShareThis > Interest from Social Activity > Centro > Vertical > Hummer,0.95,0.95,1088,,,1.02,0.87,0.15,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823766,ShareThis > Interest from Social Activity > Centro > Vertical > Land Rover,0.95,0.95,1146,,,1.07,0.91,0.16,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823636,ShareThis > Interest from Social Activity > Centro > Vertical > Bentley,0.95,0.95,1186,,,1.11,0.94,0.17,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823856,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Maintenance,0.95,0.95,1203,,,1.12,0.95,0.17,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823796,ShareThis > Interest from Social Activity > Centro > Vertical > Subaru,0.95,0.95,1337,,,1.28,1.09,0.19,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823696,ShareThis > Interest from Social Activity > Centro > Vertical > Ferrari,0.95,0.95,1596,,,1.5,1.28,0.23,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823876,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Specs,0.95,0.95,1793,,,1.72,1.46,0.26,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823746,ShareThis > Interest from Social Activity > Centro > Vertical > Hybrid & Alternative Vehicles,0.95,0.95,2116,,,1.99,1.69,0.3,,Third Party,SHARETHIS,,,,,,30-JUN-18
