Month,Publisher,Segment,Revenue,Network ,Platform
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Affluent Auto Buyers, 7.81 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Business Professionals - Smartphone Roadwarriors, 4.26 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Start-up Shoppers - Finance and Insurance, 0.05 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Affluent Travelers, 2.06 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Start-up Shoppers - Car Buyers, 0.09 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Business Professionals - Without Children, 1.79 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Tech Professionals Buying Electronics, 2.44 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Affluent Technology Buyers, 0.28 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Start-up Shoppers, 0.10 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Tech Early Adopters, 7.41 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Business Professionals - Business Attire Buyers, 3.51 ,,
2018-03,ShareThis - UK ,eXelate B2BX - Prosumer - Business Professionals - Hispanic Business Professionals, 9.32 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Mac User, 0.10 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Windows User, 0.60 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Safari user, 0.05 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Internet Explorer User, 0.20 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Chrome User, 0.46 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Firefox user, 0.05 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Samsung Phone, 0.06 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Mac User, 7.33 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Windows User, 0.30 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Safari user, 0.57 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Internet Explorer User, 0.10 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Chrome User, 7.16 ,,
2018-03,ShareThis - UK ,eXelate Demographic - Technographics - Firefox user, 0.17 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping, 5.40 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel, 5.20 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Entertainment and Media - Music, 0.07 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Flowers and Gifts, 0.21 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Mobile, 2.13 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech, 3.57 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Fashion, 2.32 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers, 6.01 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Accommodation, 2.27 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - North America - US, 2.01 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - Europe, 4.80 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - Central America - Mexico - Caribbean, 0.30 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - North America - US - Nevada, 0.44 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - North America - US - Nevada - Las Vegas LAS, 0.25 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - New or Used - New Cars, 1.35 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Sedan, 4.05 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Hybrid, 0.94 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Luxury, 4.11 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - SUV, 4.30 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Convertible, 2.78 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Van, 0.31 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Trucks, 2.22 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Minivan, 3.19 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Coupes, 2.24 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Wagons, 2.63 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Hatchback, 3.65 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Cameras, 0.72 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Compact, 4.02 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Computers, 0.54 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - TVs, 0.74 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Software, 2.27 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Video Games, 1.49 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Home and Garden - Appliances, 1.56 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Babies and Kids, 0.54 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Home and Garden - Furniture, 1.63 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Entertainment and Media - Musical Instruments, 0.95 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Sports and Recreation, 2.48 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Computers - Laptop, 0.27 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Subaru, 1.24 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Smart, 1.04 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Audi, 3.35 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - VW, 1.16 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - BMW, 2.05 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Personal Tech - Video Games - Xbox, 0.77 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Mercedes, 1.46 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Flights, 0.21 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Acura, 0.73 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Buick, 0.58 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Cadillac, 0.70 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet, 2.62 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chrysler, 1.89 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Dodge, 1.38 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Ford, 3.70 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - GMC, 1.17 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Honda, 2.77 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Hummer, 1.02 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Infiniti, 0.51 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Hyundai, 2.08 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Jaguar, 2.88 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Jeep, 3.02 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Kia, 2.03 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Land Rover, 0.92 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Lincoln, 1.56 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Lexus, 1.27 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Mazda, 2.58 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Mini, 0.90 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Mitsubishi, 0.93 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Nissan, 3.31 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Porsche, 0.49 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Saab, 0.76 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Scion, 0.55 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Suzuki, 0.40 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Toyota, 3.44 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Manufacturers - Asian, 4.34 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Volvo, 0.47 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Manufacturers - European, 3.83 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Manufacturers - US, 4.63 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Fashion - Apparel, 1.45 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Auto Parts and Repair, 0.33 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Fashion - Shoes, 1.46 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Home and Garden, 2.95 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Home and Garden - Bed and Bath, 1.37 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Home and Garden - Kitchen, 1.10 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - BMW - 3 Series, 1.71 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Mercedes - C Class, 0.72 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Lexus - ES 350, 0.79 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Volvo - XC70, 0.17 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Audi - A4, 1.96 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Nissan - Altima, 1.67 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Nissan - Armada, 1.56 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Subaru - Forester, 0.21 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Toyota - 4 Runner, 0.33 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Toyota - Corolla, 0.22 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Toyota - Camry, 1.12 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Acura - TL, 0.32 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Cadillac - CTS, 0.23 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Cadillac - Escalade, 0.26 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Camaro, 0.57 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Colorado, 0.33 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Equinox, 0.11 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Express, 0.31 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chrysler - Town and Coun, 0.61 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Dodge - Challenger, 0.44 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Dodge - Charger, 0.42 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Dodge - Durango, 0.44 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Dodge - Dakota, 0.51 ,,
