Source Audience Name,Liveramp Field ID,Liveramp Value ID,Field Name,Value Name,LiveRamp Segment ID,Provider Name,Provider Segment ID,Segment Name,Segment Description,Data Source,Data Source Detail,Digital Ad Targeting Use Permitted,Audience Extension Permitted,Campaign Analytics Permitted,TV Targeting Use Permitted,Measurement Use Permitted,Digital Ad Targeting Price (CPM),Content Marketing Price (CPM),TV Targeting Price (CPM),Cost Per Click,Custom,Whitelist Platform (Custom Segments Only),Permitted Advertisers,Excluded Advertisers,Seller Comments,Seller Approval,Estimated Reach,Country,Currency
ShareThis - Data Distribution Service,5670206,11538626,Publicis_Health_Business_Custom_KW,1,1000312356,ShareThis,Publicis_Health_Business_Custom_KW,ShareThis > Interest from Social Activity > Custom > Publicis > Medical Billing Reach,"","","",N,N,N,N,N,1.0,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,5670216,11641766,Publicis_Health_Business_Reach,1,1000322546,ShareThis,Publicis_Health_Business_Reach,ShareThis > Interest from Social Activity > Custom > Publicis > Medical Billing KW,"","","",N,N,N,N,N,1.0,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,5727706,11554976,Sprint_Conquest_CustomKW,1,1000439896,ShareThis,Sprint_Conquest_CustomKW,ShareThis > Interest from Social Activity > Sprint > Conquest,"","",Observed,Y,Y,Y,N,N,1.0,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,5727726,11554996,Sprint_Prepaid_CustomKW,1,1000439886,ShareThis,Sprint_Prepaid_CustomKW,ShareThis > Interest from Social Activity > Sprint > PrePaid,"","",Observed,Y,Y,Y,N,N,1.0,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6083826,11619316,MSFT_Cloud_ITDM_CustomKW,1,1000873749,ShareThis,"",ShareThis > MSFT_Cloud_ITDM_CustomKW > 1,"","","",Y,Y,Y,N,Y,0.7,"","","",Y,7086,"","",Sonobi,Y,4000000,USA,USD
ShareThis - Data Distribution Service,6184646,11636026,StubHub_MusicFest_Reach_CustomKW,1,1000433126,ShareThis,StubHub_MusicFest_Reach_CustomKW,ShareThis > Interest from Social Activity > StubHub > Music Festivals Reach,"","","",Y,Y,Y,N,N,0.5,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6184656,11636036,StubHub_MusicFest_Social_CustomKW,1,1000433116,ShareThis,StubHub_MusicFest_Social_CustomKW,ShareThis > Interest from Social Activity > StubHub > Music Festivals Social,"","","",Y,Y,Y,N,N,0.75,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6184666,11636046,StubHub_NBA_Reach_CustomKW,1,1000433086,ShareThis,StubHub_NBA_Reach_CustomKW,ShareThis > Interest from Social Activity > StubHub > NBA Sharers Reach,"","","",Y,Y,Y,N,N,0.5,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6184676,11636056,StubHub_NBA_Social_CustomKW,1,1000433076,ShareThis,StubHub_NBA_Social_CustomKW,ShareThis > Interest from Social Activity > StubHub > NBA Sharers Social,"","","",Y,Y,Y,N,N,0.75,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6184686,11636066,StubHub_Theater_Reach_CustomKW,1,1000433106,ShareThis,StubHub_Theater_Reach_CustomKW,ShareThis > Interest from Social Activity > StubHub > Theaters Reach,"","","",Y,Y,Y,N,N,0.5,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6184696,11636076,StubHub_Theater_Social_CustomKW,1,1000433096,ShareThis,StubHub_Theater_Social_CustomKW,ShareThis > Interest from Social Activity > StubHub > Theater Social,"","","",Y,Y,Y,N,N,0.75,"","","",Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6968776,11830456,LA_RT-Athena_Health.so_CATEGORY_PV,1,1000483386,ShareThis,LA_RT-Athena_Health.so_CATEGORY_PV,ShareThis > Insights from Pixel > Athena Health > Reach,"","",Observed,Y,N,N,N,N,0.5,0.5,0.5,0.5,Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6968786,11830466,LA_RT-Athena_Health.so_CATEGORY_SEARCH,1,1000483396,ShareThis,LA_RT-Athena_Health.so_CATEGORY_SEARCH,ShareThis > Insights from Pixel > Athena Health > Search,"","",Observed,Y,N,N,N,N,0.5,0.5,0.5,0.5,Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,6968796,11830476,LA_RT-Athena_Health.so_CATEGORY_SOCIAL,1,1000483406,ShareThis,LA_RT-Athena_Health.so_CATEGORY_SOCIAL,ShareThis > Insights from Pixel > Athena Health > Social,"","",Observed,Y,N,N,N,N,0.5,0.5,0.5,0.5,Y,1428,"","","",Y,0,USA,USD
ShareThis - Data Distribution Service,7212426,11994816,MSFT_Cloud_BDM_CustomKW,1,1000873699,ShareThis,"",ShareThis > MSFT_Cloud_BDM_CustomKW > 1,"","","",Y,Y,Y,N,Y,0.7,"","","",Y,7086,"","",Sonobi,Y,17000000,USA,USD
